No_of_fruit,Length_fruit_cm,Diameter_cm,weigth_g,Num_of_seed_fruit,state_of_the_fruit,Harvest_Date,Date_collected_data ,Origin,,,,,
1,9.4,8.1,301,8,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
2,7.6,6.5,181,3,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
3,8.54,8.1,371,9,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
4,9.3,8.54,455,10,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
5,9.53,7.5,373,7,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
6,9.14,8.1,411,9,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
7,8.5,6,188,2,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
8,9.43,8.54,349,8,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
9,9.2,7.5,314,7,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
10,9.5,7.4,332,6,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
11,9.4,7.9,342,8,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
12,8.1,8,350,9,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
13,9.1,7.5,300,6,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
14,9.3,7.4,300,6,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
15,8.4,7.6,283,8,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
16,9.7,7.8,366,7,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
17,7.5,5.3,129,2,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
18,8.2,6.3,212,5,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,H
19,9,8.2,329,8,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
20,9.1,6.9,282,5,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
21,9.1,7,297,6,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
22,8.2,6.15,232,5,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
23,8.8,8.35,318,10,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
24,8.9,8.1,358,8,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
25,7.9,7.6,285,9,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
26,8.7,7.1,276,5,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
27,8.7,7.5,292,8,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
28,8.9,7.7,325,8,Healthy,9/28/2017,9/29/2017,Mbalmayo,,,,,
29,NA,NA,NA,6,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
30,NA,NA,NA,5,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
31,NA,NA,NA,6,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
32,NA,NA,NA,6,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
33,NA,NA,NA,2,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
34,NA,NA,NA,9,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
35,NA,NA,NA,9,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
36,NA,NA,NA,10,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
37,NA,NA,NA,3,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
38,NA,NA,NA,10,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
39,NA,NA,NA,6,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
40,NA,NA,NA,9,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
41,NA,NA,NA,7,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
42,NA,NA,NA,7,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
43,NA,NA,NA,8,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
44,NA,NA,NA,6,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
45,NA,NA,NA,10,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
46,NA,NA,NA,9,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
47,NA,NA,NA,8,Degraded,9/28/2017,9/29/2017,Mbalmayo,,,,,
